Q23799289,Tiago Brandão Rodrigues
Q3021885,Álvaro Santos Pereira
Q100319459,José Tavares
Q101537534,Pedro Cegonho
Q10319949,Loureiro dos Santos
Q10272128,Elza Pais
Q4576565,Jorge Moreira da Silva
Q17420856,Carlos Pimenta
Q69916868,Joacine Katar Moreira
Q10304982,Jair Bolsonaro
Q231084,Rosa Mota
Q6752494,Manuel Carvalho da Silva
Q10308688,José Adriano Machado Souto de Moura
Q10347467,Pedro Filipe Soares
Q60206,Ariel Sharon
Q34211,Yasser Arafat
Q11728720,João Ramos
Q10310170,José Moura Soeiro
Q16337119,Celeste Cardona
Q61195608,Pedro Bacelar de Vasconcelos
Q235992,Sophia de Mello Breyner Andresen
Q17024746,José Inácio Faria
Q5511406,Fátima Felgueiras
Q4287613,José Medeiros Ferreira
Q98446386,Guilherme Pinto
Q968223,Vasco Cordeiro
Q10310733,José de Almeida Serra
Q30934473,António Carlos Monteiro
Q368644,Gonçalo Ribeiro Telles
Q202794,Luís Campos e Cunha
Q1878439,Luís Valente de Oliveira
Q10392723,Vítor Bento
Q714076,Carlos Coelho
Q26256253,José Lino Tranquada Gomes
Q5290424,Duarte Lima
Q42297127,João Torres
Q265277,Kristalina Gueorguieva
Q65499184,Paulo Pisco
Q10326209,Mariana Aiveca
Q16336402,Almeida Henriques
Q28677402,Manuel Castro Almeida
Q10303368,Inácio Peres Fernandes
Q65497451,Laurentino Dias
Q2907553,Boaventura de Sousa Santos
Q10329879,Miguel Veiga
Q17492584,Hélder Bataglia
Q10272593,Emídio Rangel
Q3540630,Henrique Medina Carreira
Q21140733,Luaty Beirão
Q16495518,Avelino Ferreira Torres
Q59336865,Francisco Spínola
Q17496450,António Chora
Q3060511,Eurico de Melo
Q10311869,João Maurício Fernandes Salgueiro
Q59572077,Humberto Vasconcelos
Q16545093,Fernando de Carvalho Ruas
Q5310427,Duarte Freitas
Q16492084,António Mendonça
Q60999934,Lucília Gago
Q61944361,Álvaro Amaro
Q1518240,Ana Drago
Q16489803,Amílcar Theias
Q16337641,João Ribeiro
Q10309895,José Manuel Sérvulo Correia
Q27093788,Edgar Correia
Q17496469,João Teixeira Lopes
Q10707,Robert Mugabe
Q10309167,José Castelo Branco
Q72426658,Ana Abrunhosa
Q4777535,Barbosa de Melo
Q10321414,Luís Fazenda
Q24286982,Osvaldo de Castro
Q1262756,Duarte Pio de Bragança
Q3154816,Isabel Alçada
Q2831797,Alberto Martins
Q22807807,Rubina Berardo
Q10347320,Pedro Arroja
Q5444915,Fernando Rosas
Q2939466,Carlos Tavares
Q101584344,Isabel Meireles
Q85875924,Nelson de Souza
Q10313446,Júlio Machado Vaz
Q10312177,João Rosado Correia
Q364934,Alberto Costa
Q18564749,Anabela Rodrigues
Q1392332,Pedro Rosa Mendes
Q10334548,Mário Tomé
Q2857765,António Victor Martins Monteiro
Q64578215,Ruben de Carvalho
Q23290826,Vítor Wengorovius
Q9159871,Arlindo Cunha
Q715046,Orlando Smith
Q10334426,Mário Campos Pinto
Q9697337,Carlos Santos Ferreira
Q16491519,António Leitão Amaro
Q42305316,Pedro Siza Vieira
Q65496709,Nuno Godinho de Matos
Q10309299,José Eduardo Martins
Q17420882,Margarida Salema
Q74256324,José Luís Carneiro
Q180801,Isabel Pires de Lima
Q505685,Sérgio Marques
Q65498002,Sérgio Vieira
Q10308054,Jorge Bacelar Gouveia
Q25419872,Maria Teresa Ambrósio
Q11728710,João Gouveia
Q19607921,Manuel José Alvarenga de Sousa Santos
Q10329776,Miguel Frasquilho
Q1708982,José Pinto Ribeiro
Q65497966,Luísa Mesquita
Q61880600,Jose Diamantino Duarte Ribeiro
Q22298080,Pedro Guerra
Q3321239,Jamila Madeira
Q5279222,Diogo Vasconcelos
Q6526652,Leonor Beleza
Q10325927,Maria José Morgado
Q28973799,Mariana Vieira da Silva
Q6123866,Jaime Nogueira Pinto
Q21290358,Margarida Mano
Q10309301,José Eduardo Moniz
Q10819,Mariano Rajoy
Q712532,Vasco Gonçalves
Q21290312,João Calvão da Silva
Q543349,Manuel António Pina
Q4723726,Alfredo Bruto da Costa
Q5484146,Francisco de Oliveira Dias
Q11256,Fidel Castro
Q5482965,Francisca Van Dunem
Q16537126,Cláudia Monteiro de Aguiar
Q17270451,Liliana Rodrigues
Q17496473,José Gusmão
Q47139,Slobodan Milošević
Q123923,Radovan Karadžić
Q336238,Kumba Yalá
Q10298152,Honório Novo
Q10261183,Costa Martins
Q3186473,José Menéres Pimentel
Q10313391,Júlio Castro Caldas
Q10322008,Lídia Bulcão
Q28973801,Margarida Marques
Q10308703,Ribau Esteves
Q10324724,Manuela Arcanjo
Q3302199,Miguel Pais do Amaral
Q10334505,Mário Patinha Antão
Q6949714,Mário Crespo
Q10284941,Francisco Luís Murteira Nabo
Q23904994,André Lourenço e Silva
Q17420661,José Apolinário
Q10308196,Jorge Neto
Q22958361,Paulo Pinto de Albuquerque
Q11665,José Ramos-Horta
Q349583,José Alencar
Q17420886,Manuel dos Santos Machado
Q312831,Eduardo Souto de Moura
Q208355,Joaquim Chissano
Q3179729,Joaquim Magalhães Mota
Q22958314,Domingos Abrantes
Q485946,Itamar Franco
Q22252746,Maria Manuel Leitão Marques
Q20045850,Ireneu Cabral Barreto
Q10363320,Roberto Carneiro
Q10316578,Laurinda Alves
Q10346748,Paulo Pitta e Cunha
Q10318815,Lino de Carvalho
Q1378001,Fausto de Sousa Correia
Q481124,Ernâni Lopes
Q16494439,Artur Santos Silva
Q57392,Armando Guebuza
Q48879362,Casimiro Francisco Ramos
Q16855282,Miguel Mendonça
Q235866,Viviane Reding
Q10338221,Nuno Miguel Henriques
Q85179710,Olavo Câmara
Q17420848,Virgílio Pereira
Q10346704,Paulo Mendo
Q17420864,Manuel Porto
Q10346590,Paulo Freitas do Amaral
Q11708836,Helena Torres Marques
Q7702196,Teresa Patrício Gouveia
Q30934717,Álvaro Castello-Branco
Q25420666,Emanuel Rodrigues
Q88196412,António Vieira Monteiro
Q3132528,Henrique Nascimento Rodrigues
Q10310204,José Niza
Q18708029,Luís Duque
Q4681977,José Adelino Maltez
Q10321558,Luís Menezes
Q20974230,Ana Paula Zacarias
Q207,George W. Bush
Q192,David Cameron
Q1339831,Emídio Guerreiro
Q11728561,José Cesário
Q47539921,João Oliveira
Q10310636,José Vieira de Carvalho
Q235916,Maria de Lourdes Pintasilgo
Q3186526,José Pinto Coelho
Q10357633,Raul Rêgo
Q85712941,Pedro Baptista
Q27134712,Catarina Vaz Pinto
Q16337640,João Pinho de Almeida
Q10347324,Pedro Pinto
Q72618895,Maria Begonha
Q518861,Frank Carlucci
Q3038797,Teresa Caeiro
Q2073164,José Barata-Moura
Q10334395,Mário Cal Brandão
Q65499243,Joana Barata Lopes
Q44851,Miguel Torga
Q10270753,Eduardo Pereira
Q9620073,António Ribeiro Cristóvão
Q4720890,Alexandre Quintanilha
Q9619105,António Filipe
Q9158198,António Reis
Q10321579,Luís Nazaré
Q10300977,Igrejas Caeiro
Q10281519,Fernando Santos Martins
Q101441727,José Manuel Bolieiro
Q10310517,José Silveira Godinho
Q16491360,António Carrapatoso
Q26256214,Cláudio Monteiro
Q85853594,Horácio de Carvalho Flores
Q10272634,Emílio Rui Vilar
Q10390,John McCain
Q64523123,Sara Cerdas
Q39659,Jacques Santer
Q9185480,Cecília Meireles
Q1033303,Jeroen Dijsselbloem
Q9619601,António Macedo
Q334835,Sérgio Vieira de Mello
Q17420667,Maria Belo
Q13989269,Pablo Iglesias Turrión
Q3745041,Filipe Soares Franco
Q10329729,Miguel Beleza
Q388965,Carlos Mota Pinto
Q10285488,Francisco van Zeller
Q1389840,José Luis da Cruz Vilaça
Q9619988,António Pinto Leite
Q3290963,Maria João Rodrigues
Q10321431,Luís Filipe Castro Mendes
Q10308947,José Barros Moura
Q37349,Dalai Lama
Q10303811,Isabel Mota
Q65161985,Luís António Pita Ameixa
Q348880,Francisco da Costa Gomes
Q4777590,António Horta Osório
Q377683,Narana Coissoró
Q8440,Hugo Chávez
Q10334488,Mário Montalvão Machado
Q17285265,José Magalhães
Q3420579,Raya Haffar El Hassan
Q736289,Ernesto Melo Antunes
Q8023,Nelson Mandela
Q10365313,Rui Pena
Q777954,Alain Lamassoure
