Q444059,Q182367,2006-11-14,https://publico.pt/1276518
Q439377,Q22005939,2019-05-24,https://arquivo.pt/wayback/20190524192026/https://www.dn.pt/poder/interior/amp/europeias-cristas-contrapoe-ma-cara-de-pedro-marques-aos-engracadinhos-do-cds--10889832.html
Q610788,Q57615,2014-12-14,https://arquivo.pt/wayback/20141214022209/http://www.ionline.pt/artigos/portugal/costa-desmente-passos-sobre-tap
Q610788,Q769747,2018-08-06,https://arquivo.pt/wayback/20180806194936/https://www.dn.pt/poder/interior/costa-desautoriza-santos-silva-sobre-geringonca-o-que-corre-bem-nao-deve-ser-perturbado--9584339.html
Q1688029,Q294460,2016-04-11,https://arquivo.pt/wayback/20160411181810/http://expresso.sapo.pt/politica/2016-04-10-Jeronimo-de-Sousa-considera-declaracoes-de-Draghi-inaceitavel-ingerencia
Q10281462,Q925136,2016-05-11,https://arquivo.pt/wayback/20160511192818/http://sol.sapo.pt/noticia/418563
Q925136,Q15849,2015-08-30,https://arquivo.pt/wayback/20150830001640/http://www.jn.pt/PaginaInicial/Nacional/Interior.aspx?content_id=4751431&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+JN-SOCIEDADE+%28JN+-+Sociedade%29
Q10325930,Q5043745,2011-07-05,https://arquivo.pt/wayback/20110705105602/http://www.jn.pt/paginainicial/interior.aspx?content_id=486679
Q156781,Q182367,2014-12-03,https://arquivo.pt/wayback/20141203235730/http://visao.sapo.pt/soares-diz-que-socrates-esta-ser-alvo-de-malandrice-bandalheira-e-infamia=f802662
Q610788,Q529992,2017-03-22,https://arquivo.pt/wayback/20170322230615/http://www.jn.pt/nacional/interior/costa-revela-que-constancio-nega-ligacao-a-relatorio-sobre-multa-5741963.html
Q550243,Q57398,2006-11-18,https://publico.pt/1277035
Q1688029,Q57398,2006-01-14,https://publico.pt/1244753
Q439377,Q610788,2018-12-12,https://arquivo.pt/wayback/20181212184634/https://observador.pt/2018/12/12/assuncao-cristas-acusa-antonio-costa-de-querer-virar-portugueses-contra-enfermeiros/amp/
Q3131021,Q182367,2011-03-19,https://publico.pt/1485641
Q6293647,Q182367,2009-09-05,https://publico.pt/1399301
Q1340708,Q10281523,2005-12-12,https://arquivo.pt/wayback/20051212174041/http://dn.sapo.pt/2005/09/15/nacional/joao_soares_apresenta_queixa_contra_.html
Q1580316,Q58161,2013-09-20,https://publico.pt/1606564
Q656518,Q10346767,2014-03-06,https://publico.pt/1627320
Q182367,Q239248,2005-03-09,https://arquivo.pt/wayback/20050309213346/http://dn.sapo.pt/2005/01/21/nacional/socrates_acusa_santana_utilizar_esta.html
Q2844986,Q58161,2017-02-28,https://arquivo.pt/wayback/20170228003246/http://sicnoticias.sapo.pt/economia/2014-08-28-Ana-Gomes-insiste-em-suspeitas-de-corrupcao-que-envolvem-Portas-no-caso-dos-submarinos
Q439377,Q25440961,2017-03-21,https://arquivo.pt/wayback/20170321055308/http://www.dn.pt/portugal/interior/cristas-diz-que-atitude-de-paulo-nuncio-revela-elevacao-de-caracter-5692638.html
Q6706787,Q11767932,2015-06-25,https://arquivo.pt/wayback/20150625224925/http://zap.aeiou.pt/tribunal-de-contas-critica-gestao-de-menezes-e-marco-antonio-costa-73153
Q769747,Q57615,2010-11-27,https://publico.pt/1468396
Q182367,Q57615,2011-05-24,https://arquivo.pt/wayback/20110524191118/http://www.jornaldenegocios.pt/home.php?template=SHOWNEWS_V2&id=486151
Q69935603,Q7378729,2018-09-26,https://arquivo.pt/wayback/20180926031311/https://jornaleconomico.sapo.pt/noticias/andre-ventura-acusa-rui-rio-do-maior-roubo-de-identidade-na-historia-do-psd-356106
Q1688029,Q57615,2011-05-08,https://arquivo.pt/wayback/20110508045550/http://sol.sapo.pt/inicio/Politica/Interior.aspx?content_id=18027
Q10321568,Q182367,2011-02-01,https://arquivo.pt/wayback/20110201003825/http://www.jn.pt/PaginaInicial/Economia/Interior.aspx?content_id=1363486
Q656518,Q10335529,2003-03-23,https://publico.pt/286602
Q3183808,Q57398,2001-05-17,https://publico.pt/23354
Q13582493,Q182367,2010-10-09,https://arquivo.pt/wayback/20101009212428/http://dn.sapo.pt/Inicio/interior.aspx?content_id=1668486
Q156781,Q182367,2011-03-21,https://arquivo.pt/wayback/20110321234744/http://www.dn.pt/Inicio/interior.aspx?content_id=1806485
Q3069519,Q737410,2010-11-14,https://arquivo.pt/wayback/20101114183740/http://www.publico.pt/Pol%C3%ADtica/fernando-nobre-manuel-alegre-e-o-candidato-do-nim_1465958
Q5716738,Q1382767,2009-07-03,https://publico.pt/1390207
Q745134,Q16498018,2015-05-16,https://publico.pt/1695864
Q13576558,Q610788,2015-02-24,https://arquivo.pt/wayback/20150224184544/http://economico.sapo.pt/noticias/poiares-maduro-avisa-costa-para-nao-se-refugiar-na-uniao-europeia_212645.html
Q156781,Q567,2011-10-20,https://arquivo.pt/wayback/20111020202747/http://www.jornaldenegocios.pt/home.php?template=SHOWNEWS_V2&id=513527
Q1442096,Q182367,2010-07-15,https://publico.pt/1447262
Q6706787,Q529992,2011-10-15,https://publico.pt/1516655
Q182367,Q15849,2014-04-29,https://arquivo.pt/wayback/20140429060115/http://www.publico.pt/economia/noticia/socrates-ataca-durao-barroso-sobre-bpn-1631271
Q8077028,Q57398,2016-01-09,https://arquivo.pt/wayback/20160109221949/http://www.ionline.pt/492582
Q550243,Q610788,2019-11-07,https://arquivo.pt/wayback/20191107000341/https://www.dn.pt/poder/amp/marques-mendes-antonio-costa-esta-com-medo-11452752.html
Q58161,Q182367,2010-11-23,https://arquivo.pt/wayback/20101123005612/http://sol.sapo.pt/inicio/Politica/Interior.aspx?content_id=3477
Q769747,Q444059,2009-05-19,https://publico.pt/1381609
Q439377,Q610788,2019-02-10,https://arquivo.pt/wayback/20190210053527/https://www.dn.pt/poder/interior/assuncao-cristas-acusa-antonio-costa-nao-tem-palavra-carater-10321582.html
Q16940732,Q10324447,2018-03-23,https://arquivo.pt/wayback/20180323225551/http://www.aeiou.pt/quiosque/ps-e-psd-de-novo-unidos-contra-a-porto-cultura-uma-coligacao-laferiana-reage-moreira
Q4007647,Q550243,2011-07-12,https://arquivo.pt/wayback/20110712033207/http://www.tsf.pt/paginainicial/interior.aspx?content_id=771670
Q58132,Q22686,2019-02-08,https://arquivo.pt/wayback/20190208195924/https://www.tsf.pt/internacional/interior/amp/venezuela-maduro-responsabiliza-trump-pela-violencia-que-possa-ocorrer-no-pais-10502089.html
Q239248,Q58161,2001-12-17,https://publico.pt/54760
Q612666,Q439377,2017-06-24,https://arquivo.pt/wayback/20170624184721/https://www.rtp.pt/noticias/politica/catarina-martins-desafia-governo-a-travar-lei-que-foi-implementada-por-assuncao-cristas_v1010211
Q40688,Q610788,2015-12-05,https://arquivo.pt/wayback/20151205194414/http://www.dn.pt/portugal/interior/ao-estilo-de-varoufakis-costa-posa-com-a-familia-para-revista-corderosa-4912563.html
